Date,Open,High,Low,Close,Adj Close,Volume
2022-10-24,191.410004,193.130005,189.100006,190.710007,189.187454,7299200
2022-10-25,190.869995,195.229996,190.720001,194.380005,192.828140,11907200
2022-10-26,196.580002,206.369995,196.500000,203.330002,201.706696,15450000
2022-10-27,203.320007,206.320007,201.589996,204.289993,202.659027,7946700
2022-10-28,205.000000,211.520004,203.309998,209.339996,207.668701,8455600
2022-10-31,208.919998,209.619995,206.199997,207.160004,205.506104,8674100
2022-11-01,208.910004,209.970001,205.330002,206.929993,205.277939,5919500
2022-11-02,205.759995,207.000000,200.580002,200.949997,199.345673,6985600
2022-11-03,198.279999,198.850006,194.179993,194.750000,193.195160,8236200
2022-11-04,197.000000,201.449997,195.339996,196.979996,195.407364,9680100
2022-11-07,198.320007,200.440002,197.169998,200.100006,198.502472,7821300
2022-11-08,201.660004,204.119995,199.740005,201.779999,200.169052,6943700
2022-11-09,200.699997,201.330002,193.330002,193.929993,192.811737,7320200
2022-11-10,203.089996,205.759995,200.020004,205.570007,204.384613,8048900
2022-11-11,206.000000,206.429993,202.149994,205.000000,203.817902,9601000
2022-11-14,203.500000,209.169998,203.210007,206.860001,205.667175,5796100
2022-11-15,209.990005,213.729996,207.509995,209.990005,208.779114,7316100
2022-11-16,208.580002,210.889999,208.220001,210.139999,208.928253,6125300
2022-11-17,207.960007,211.279999,207.320007,210.990005,209.773346,5385600
2022-11-18,213.169998,214.169998,209.740005,210.800003,209.584457,8028500
2022-11-21,210.300003,210.550003,205.889999,206.320007,205.130295,10450900
2022-11-22,207.539993,210.479996,205.350006,210.330002,209.117172,5273100
2022-11-23,210.000000,212.830002,209.919998,211.729996,210.509079,3807300
2022-11-25,211.710007,214.000000,211.389999,213.789993,212.557205,1993500
2022-11-28,212.259995,214.470001,210.649994,211.259995,210.041794,10229400
2022-11-29,209.350006,210.149994,207.350006,209.059998,207.854492,8986900
2022-11-30,208.220001,217.000000,208.009995,217.000000,215.748688,13918100
2022-12-01,217.000000,218.649994,215.300003,217.000000,215.748688,11261500
2022-12-02,215.729996,218.479996,214.240005,217.660004,216.404892,5132800
2022-12-05,215.649994,216.910004,213.050003,213.679993,212.447845,9006300
2022-12-06,212.000000,212.130005,207.639999,209.080002,207.874359,5986000
2022-12-07,208.800003,209.020004,205.130005,207.809998,206.611694,7923800
2022-12-08,209.509995,210.300003,207.750000,209.100006,207.894272,4896500
2022-12-09,207.910004,210.520004,207.520004,208.699997,207.496567,4928400
2022-12-12,210.000000,214.820007,209.470001,214.589996,213.352600,5941700
2022-12-13,219.539993,219.979996,212.619995,213.039993,211.811523,14585000
2022-12-14,212.850006,216.279999,211.630005,213.320007,212.089935,7001700
2022-12-15,209.600006,211.820007,206.820007,207.910004,206.711121,10831800
2022-12-16,207.490005,208.399994,205.300003,206.889999,205.697006,12472900
2022-12-19,206.630005,207.470001,203.949997,204.820007,203.638931,4893600
2022-12-20,203.880005,206.529999,203.550003,205.360001,204.175827,5024900
2022-12-21,206.570007,207.960007,205.580002,206.809998,205.617462,4086900
2022-12-22,205.750000,206.649994,202.130005,205.059998,203.877548,5690300
2022-12-23,204.130005,206.240005,203.520004,205.830002,204.643112,3246000
2022-12-27,205.919998,206.880005,204.600006,206.289993,205.100449,2904900
2022-12-28,206.679993,208.529999,204.800003,204.990005,203.807953,3139200
2022-12-29,205.949997,208.529999,205.500000,208.059998,206.860245,3675500
2022-12-30,206.309998,208.039993,205.699997,207.759995,206.561981,4159400
2023-01-03,209.279999,212.330002,206.160004,207.389999,206.194107,4202800
2023-01-04,209.619995,213.199997,209.619995,212.610001,211.384018,6606200
2023-01-05,213.800003,214.160004,210.460007,211.110001,209.892670,5246000
2023-01-06,214.000000,218.139999,213.089996,217.750000,216.494385,6829700
2023-01-09,219.070007,222.210007,218.350006,218.600006,217.339478,6294500
2023-01-10,218.990005,222.389999,218.179993,221.089996,219.815109,10857000
2023-01-11,221.289993,222.179993,219.699997,222.100006,220.819305,5408200
2023-01-12,222.100006,223.809998,220.610001,223.619995,222.330536,4264400
2023-01-13,221.910004,223.759995,220.139999,223.059998,221.773758,4283200
2023-01-17,222.380005,224.399994,222.369995,223.000000,221.714111,6101100
2023-01-18,224.080002,224.990005,219.440002,219.460007,218.194519,6558000
2023-01-19,218.100006,221.520004,217.500000,220.410004,219.139038,4853100
2023-01-20,221.139999,224.429993,220.410004,224.309998,223.016556,5211000
2023-01-23,224.600006,226.199997,223.149994,224.179993,222.887283,5501500
2023-01-24,222.020004,230.000000,216.630005,223.889999,222.598969,5274900
2023-01-25,221.619995,224.970001,221.169998,224.899994,223.603134,4729600
2023-01-26,226.000000,227.080002,223.669998,224.710007,223.414246,7043400
2023-01-27,228.000000,232.839996,227.250000,231.440002,230.105438,11382600
2023-01-30,230.199997,230.419998,227.929993,229.100006,227.778931,5677400
2023-01-31,228.809998,230.800003,228.449997,230.210007,228.882538,11294200
2023-02-01,229.369995,232.660004,227.800003,230.899994,229.568542,5792700
2023-02-02,233.960007,234.300003,228.369995,229.559998,228.236282,7190000
2023-02-03,228.690002,230.860001,227.639999,230.130005,228.802994,5243600
2023-02-06,228.699997,230.259995,228.039993,229.440002,228.116974,3402400
2023-02-07,228.020004,232.130005,227.949997,231.320007,229.986145,4042600
2023-02-08,230.339996,231.860001,229.990005,230.199997,228.872589,4978600
2023-02-09,232.410004,232.479996,229.130005,229.350006,228.474106,5238400
2023-02-10,228.960007,229.910004,226.160004,227.199997,226.332321,4509700
2023-02-13,226.880005,229.830002,226.270004,228.880005,228.005905,4946700
2023-02-14,228.669998,231.419998,227.169998,229.389999,228.513947,4829400
2023-02-15,227.589996,229.070007,226.800003,228.919998,228.045746,4407300
2023-02-16,226.070007,228.360001,225.669998,225.830002,224.967545,3865900
2023-02-17,224.179993,224.770004,221.740005,223.559998,222.706207,4520200
2023-02-21,220.160004,222.440002,219.990005,220.619995,219.777435,7276100
2023-02-22,220.410004,221.750000,219.449997,220.020004,219.179749,4621800
2023-02-23,221.559998,222.089996,218.929993,221.130005,220.285507,5533800
2023-02-24,218.479996,220.240005,217.460007,219.550003,218.711533,4414400
2023-02-27,220.729996,221.440002,219.339996,220.350006,219.508484,4255300
2023-02-28,220.000000,221.770004,219.500000,219.940002,219.100052,5385400
2023-03-01,219.460007,220.270004,216.429993,218.360001,217.526077,4792700
2023-03-02,217.889999,219.600006,217.089996,219.059998,218.223404,5539300
2023-03-03,220.199997,224.020004,219.899994,223.770004,222.915421,6055400
2023-03-06,223.929993,227.419998,223.690002,226.750000,225.884033,5737600
2023-03-07,226.750000,227.380005,223.080002,223.169998,222.317703,4386800
2023-03-08,221.960007,222.929993,221.179993,222.190002,221.341461,4194900
2023-03-09,221.399994,224.369995,219.660004,220.009995,219.169769,5066700
2023-03-10,219.029999,219.119995,215.479996,216.139999,215.314560,6638900
2023-03-13,214.630005,217.850006,212.500000,214.470001,213.650925,6810800
2023-03-14,218.000000,219.869995,216.039993,218.660004,217.824936,7985600
2023-03-15,214.410004,216.910004,213.669998,216.369995,215.543671,8372200
2023-03-16,215.169998,217.580002,208.759995,217.449997,216.619553,13674600
2023-03-17,214.869995,218.660004,214.869995,217.389999,216.559784,18801200
2023-03-20,217.000000,220.550003,216.839996,218.149994,217.316879,9817400
2023-03-21,221.339996,222.509995,218.679993,221.949997,221.102356,8971400
2023-03-22,222.500000,224.899994,219.919998,220.039993,219.199646,6700600
2023-03-23,220.440002,225.250000,220.259995,222.589996,221.739929,6427700
2023-03-24,220.669998,221.330002,218.250000,221.039993,220.195831,4791500
2023-03-27,222.589996,224.080002,221.389999,221.809998,220.962906,7210900
2023-03-28,222.820007,223.330002,218.649994,220.330002,219.488556,6418400
2023-03-29,222.289993,223.550003,220.919998,223.300003,222.447205,4483000
2023-03-30,223.919998,224.240005,221.210007,222.360001,221.510803,5383900
2023-03-31,223.600006,225.839996,223.289993,225.460007,224.598969,9509000
2023-04-03,225.229996,229.160004,224.119995,229.000000,228.125443,6421500
2023-04-04,229.000000,230.050003,226.830002,227.660004,226.790558,5254700
2023-04-05,226.779999,228.470001,226.550003,228.169998,227.298599,4813600
2023-04-06,226.160004,226.729996,224.679993,225.990005,225.126938,4285200
2023-04-10,225.559998,226.479996,224.320007,226.429993,225.565247,4952200
2023-04-11,227.000000,229.139999,226.199997,228.449997,227.577545,4513300
2023-04-12,229.929993,231.589996,227.330002,227.809998,226.939972,4373000
2023-04-13,229.460007,232.839996,228.800003,232.690002,231.801346,7615500
2023-04-14,232.990005,234.990005,232.240005,234.020004,233.126282,9781300
2023-04-17,234.020004,234.050003,230.940002,233.479996,232.588333,4865000
2023-04-18,233.750000,234.330002,231.690002,233.600006,232.707870,4796200
2023-04-19,234.000000,234.059998,231.850006,232.570007,231.681808,3833900
2023-04-20,232.460007,234.669998,231.500000,234.600006,233.704056,4925700
2023-04-21,235.000000,235.570007,233.380005,234.050003,233.156158,6771500
2023-04-24,234.229996,235.149994,231.509995,232.759995,231.871078,9124100
2023-04-25,233.020004,235.020004,229.429993,229.589996,228.713196,6076500
2023-04-26,231.220001,232.770004,226.720001,228.149994,227.278687,8400400
2023-04-27,228.669998,229.630005,226.610001,229.009995,228.135406,7128200
2023-04-28,228.649994,233.570007,228.059998,232.729996,231.841187,11627900
2023-05-01,232.869995,234.589996,231.509995,232.509995,231.622025,4571100
2023-05-02,231.949997,232.369995,226.210007,226.979996,226.113159,5244000
2023-05-03,226.979996,228.669998,225.919998,225.979996,225.116974,4093300
2023-05-04,224.839996,226.059998,223.479996,225.600006,224.738434,5648700
2023-05-05,228.339996,232.339996,227.289993,231.779999,230.894821,6237000
2023-05-08,231.250000,233.449997,231.250000,232.229996,231.343109,2938400
2023-05-09,231.080002,234.089996,230.820007,233.259995,232.369171,4352100
2023-05-10,234.300003,234.809998,228.899994,231.270004,230.386780,5245000
2023-05-11,230.750000,231.520004,228.270004,231.009995,230.576416,3818000
2023-05-12,232.000000,232.729996,229.820007,231.380005,230.945724,3430300
2023-05-15,231.190002,232.830002,230.550003,232.809998,232.373032,2843200
2023-05-16,232.559998,233.100006,229.630005,230.470001,230.037430,4289700
2023-05-17,232.729996,233.889999,230.550003,232.649994,232.213333,4990100
2023-05-18,232.399994,234.149994,231.130005,233.600006,233.161560,6621900
2023-05-19,234.000000,234.339996,231.940002,233.309998,232.872101,5399100
2023-05-22,233.309998,233.869995,231.179993,231.279999,230.845917,3987800
2023-05-23,229.270004,229.490005,223.660004,224.580002,224.158493,8537200
2023-05-24,222.550003,223.100006,220.029999,222.250000,221.832855,6730800
2023-05-25,222.449997,224.690002,220.490005,223.380005,222.960739,6827600
2023-05-26,223.820007,226.210007,223.339996,225.009995,224.587677,5067300
2023-05-30,225.009995,225.470001,219.750000,221.639999,221.223999,6916000
2023-05-31,219.960007,221.529999,216.139999,221.029999,220.615143,20460600
2023-06-01,222.729996,226.710007,222.429993,226.500000,226.074890,7003600
2023-06-02,228.809998,230.270004,227.419998,228.789993,228.360580,5895500
2023-06-05,227.910004,228.330002,225.309998,226.770004,226.344376,4858900
2023-06-06,226.690002,229.250000,226.160004,228.220001,227.791656,6020100
2023-06-07,227.000000,227.550003,221.020004,225.270004,224.847198,8517200
2023-06-08,225.089996,225.139999,222.410004,223.050003,222.631363,6248200
2023-06-09,223.639999,225.179993,222.759995,223.559998,223.140396,6385000
2023-06-12,224.410004,226.449997,223.630005,226.169998,225.745499,8621100
2023-06-13,225.619995,227.149994,222.630005,223.399994,222.980698,6868700
